Designator,Mid X,Mid Y,Rotation,Layer
C1,143.002,-77.7025,270.0,top
C10,157.2475,-56.642,180.0,top
C11,157.2475,-65.532,180.0,top
C12,157.2475,-74.23,180.0,top
C13,157.2475,-83.058,180.0,top
C14,157.2475,-91.694,180.0,top
C2,144.526,-62.7165,270.0,top
C3,167.894,-81.2585,270.0,top
C4,171.704,-66.3155,270.0,top
C5,119.634,-83.0365,90.0,top
C6,119.38,-64.7915,90.0,top
C7,124.968,-74.1895,90.0,top
C8,129.032,-74.1895,270.0,top
C9,129.032,-65.8075,270.0,top
D1,115.824,-83.067,270.0,top
D10,156.21,-69.725,90.0,top
D11,156.21,-78.615,90.0,top
D12,156.21,-87.505,90.0,top
D13,156.21,-95.825,90.0,top
D14,165.038,-67.818,180.0,top
D15,165.1,-64.77,0.0,top
D16,189.992,-56.143,90.0,top
D17,187.706,-56.134,270.0,top
D2,115.57,-64.779,270.0,top
D3,186.69,-91.195,90.0,top
D4,184.658,-56.143,270.0,top
D5,184.15,-91.177,270.0,top
D6,182.372,-56.143,90.0,top
D7,147.32,-82.871,90.0,top
D8,156.21,-52.07,90.0,top
D9,156.21,-60.96,90.0,top
FB1,124.968,-81.4,270.0,top
FB2,124.968,-65.906,270.0,top
J1,117.115,-73.914,270.0,top
J6,193.019,-73.914,90.0,top
M1,155.305611,-71.066641,0.0,top
PT1,133.184,-90.906,90.0,top
PT2,175.348,-90.932,90.0,top
PT3,133.184,-56.209,90.0,top
PT4,175.348,-56.235,90.0,top
PT6,147.0533,-91.44,90.0,top
PT7,184.0611,-74.9046,90.0,top
R1,118.094,-87.884,0.0,top
R10,149.606,-77.708,270.0,top
R11,161.544,-87.614,90.0,top
R12,151.13,-66.056,270.0,top
R13,129.032,-81.296,90.0,top
R14,132.588,-81.296,90.0,top
R15,143.256,-83.074,90.0,top
R16,139.954,-83.074,90.0,top
R17,140.97,-62.754,270.0,top
R18,132.588,-74.184,90.0,top
R19,132.588,-65.802,90.0,top
R2,117.856,-59.69,0.0,top
R20,135.89,-65.802,270.0,top
R21,164.338,-81.264,270.0,top
R22,171.45,-81.296,270.0,top
R23,174.752,-81.248,90.0,top
R24,176.022,-66.278,90.0,top
R25,163.068,-72.501,90.0,top
R26,180.086,-66.31,270.0,top
R27,186.944,-61.706,90.0,top
R3,192.024,-89.9,270.0,top
R4,184.023,-61.706,90.0,top
R5,139.573,-77.581,90.0,top
R6,178.054,-81.248,270.0,top
R7,136.144,-74.184,90.0,top
R8,146.304,-77.74,90.0,top
R9,136.144,-81.296,270.0,top
U1,143.764,-70.039,0.0,top
U2,170.434,-74.103,0.0,top
